Ana Kamera Flaş,Ana Kamera Çözünürlül Aralığı,Arka Kamera Sayısı,Arttırılabilir Hafıza (Hafıza Kartı Desteği),Batarya Kapasitesi Aralığı,Bağlantılar,Bluetooth,CPU Aralık,Cep Telefonu Modeli,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme Hızı,Ekran Çözünürlüğü,GPS,Garanti Tipi,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Şarj,Kamera Çözünürlüğü,Kulaklık Girişi,Mobil Bağlantı Hızı,NFC,Parmak İzi Okuyucu,Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza Dayanıklılık,Video Kayıt Çözünürlüğü,Yüz Tanıma,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,urls,prices
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-a12-64gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-80138493,2.799 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/xiaomi/redmi-note-10s-6gb-128gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-132766858,4.160 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/poco/x3-pro-6gb-128gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-100123221,"4.759,90 TL"
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-s20-fe-cift-sim-128gb-cloud-lavender-cep-telefonu-samsung-turkiye-garantili-p-50803149,"7.188,90 TL"
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-note20-256gb-mystic-bronze-cep-telefonu-samsung-turkiye-garantili-p-45520184,9.940 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/oppo/a54-128gb-siyah-cep-telefonu-oppo-turkiye-garantili-p-113296679,2.869 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/general-mobile/gm21-pro-6gb-128gb-mavi-cep-telefonu-resmi-distributor-garantili-p-111215021,3.019 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-a32-128gb-lavanta-cep-telefonu-samsung-turkiye-garantili-p-102207092,4.275 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-a52-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-97120660,5.490 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/oppo-realme/realme-c21-64gb-siyah-cep-telefonu-realme-turkiye-garantili-p-125866717,2.279 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-a12-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-176117887,3.000 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/reeder/p13-blue-max-l-2022-4-64-gb-siyah-reeder-turkiye-garantili-p-159037719,1.600 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/general-mobile/gm-21-pro-dark-gray-6gb-128gb-p-108404532,2.902 TL
Var,60 - 80 MP,4,Var,5000-6000 mAh,Wi-Fi,Var,2.0-2.5 GHz,,128 GB,Var,6.5'' - 7'',6 inç ve üstü,"6.5"" - 7""",PLS,Diğer,90 Hz,FHD+,Var,Samsung TR Garantili,AMOLED,Var,Yok,20 MP ve üstü,3.5 mm,4.5G,Var,Var,4000 - 5000,8 GB,,Mavi,Var,2160p (Ultra HD) 4K,Var,Var,Var,1,20 - 40 MP,20 - 40 MP,Diğer,Android,USB Type-C,20-40 W,https://www.trendyol.com/samsung/galaxy-a72-128gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-97863496,"6.427,80 TL"
